,Average MSE
0,0.00037731040113916
1,0.00037646692362613976
2,0.0003748782425342749
3,0.0003749692065563674
4,0.0003747651498997584
5,0.0003737993150328596
6,0.00037745132673686993
7,0.00037448597625674057
8,0.00037588255751567584
9,0.0003761888316754873
10,0.0003747464215848595
11,0.00037175818094207597
12,0.0003722162509802729
13,0.00037310540695519495
14,0.0003748792902721713
15,0.0003736126285123949
16,0.0003733221092261374
17,0.00037573785327064496
18,0.0003689461591420695
19,0.00037228626024443656
